Recip_County,Recip_State,12/15/2021,12/16/2021,12/17/2021,12/18/2021,12/19/2021,12/20/2021,12/21/2021,12/22/2021,12/23/2021,12/24/2021,12/25/2021,12/26/2021,12/27/2021,12/28/2021,12/29/2021,12/30/2021,12/31/2021,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022,01/13/2022,01/14/2022,01/15/2022,01/16/2022,01/17/2022,01/18/2022,01/19/2022,01/20/2022,01/21/2022,01/22/2022,01/23/2022,01/24/2022,01/25/2022,01/26/2022,01/27/2022,01/28/2022,01/29/2022,01/30/2022,01/31/2022,02/01/2022,02/02/2022,02/03/2022,02/04/2022,02/05/2022,02/06/2022,02/07/2022,02/08/2022,02/09/2022,02/10/2022,02/11/2022,02/12/2022,02/13/2022,02/14/2022,02/15/2022,02/16/2022,02/17/2022,02/18/2022,02/19/2022,02/20/2022,02/21/2022,02/22/2022,02/23/2022,02/24/2022,02/25/2022,02/26/2022,02/27/2022,02/28/2022,03/01/2022,03/02/2022,03/03/2022,03/04/2022,03/05/2022,03/06/2022,03/07/2022,03/08/2022,03/09/2022,03/10/2022,03/11/2022,03/12/2022,03/13/2022,03/14/2022,03/15/2022,03/16/2022,03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022,03/24/2022,03/25/2022,03/26/2022,03/27/2022,03/28/2022,03/29/2022,03/30/2022,03/31/2022,04/01/2022,04/02/2022,04/03/2022,04/04/2022,04/05/2022,04/06/2022,04/07/2022,04/08/2022,04/09/2022,04/10/2022,04/11/2022,04/12/2022,04/13/2022,04/14/2022,04/15/2022,04/16/2022,04/17/2022,04/18/2022,04/19/2022,04/20/2022
Eastland County,,0.0,1681.0,1698.0,1785.0,1789.0,1794.0,1802.0,1815.0,1836.0,1837.0,1837.0,1837.0,1908.0,1923.0,1934.0,1973.0,1973.0,1973.0,1973.0,2031.0,2063.0,2113.0,2118.0,2137.0,2143.0,2149.0,2152.0,2155.0,2160.0,2172.0,2186.0,2218.0,2218.0,2218.0,2254.0,2261.0,2266.0,2266.0,2280.0,2285.0,2287.0,2297.0,2304.0,2316.0,2321.0,2323.0,2324.0,2327.0,2329.0,2333.0,2348.0,2348.0,2352.0,2353.0,2353.0,2354.0,2358.0,2365.0,2368.0,2374.0,2382.0,2386.0,2392.0,2395.0,2397.0,2400.0,2404.0,2404.0,2404.0,2413.0,2414.0,2414.0,2415.0,2416.0,2423.0,2425.0,2427.0,2431.0,2434.0,2439.0,2442.0,2442.0,2443.0,2443.0,2447.0,2449.0,2448.0,2460.0,2462.0,2462.0,2464.0,2466.0,2474.0,2476.0,2477.0,2477.0,2477.0,2477.0,2480.0,2494.0,2500.0,2500.0,2503.0,2503.0,2503.0,2510.0,2512.0,2517.0,2526.0,2531.0,2534.0,2534.0,2536.0,2557.0,2560.0,2570.0,2573.0,2574.0,2578.0,2582.0,2587.0,2591.0,2599.0,2599.0,2600.0,2606.0,2606.0
Hays County,,58.0,33294.0,34019.0,34733.0,35429.0,35623.0,35952.0,36748.0,37463.0,37463.0,37465.0,37465.0,38793.0,39106.0,39770.0,40431.0,40431.0,40431.0,40431.0,41997.0,42350.0,42911.0,43261.0,43846.0,44511.0,44863.0,45097.0,45370.0,45784.0,46293.0,46698.0,47162.0,47162.0,47162.0,48033.0,48364.0,48772.0,48773.0,49313.0,49622.0,49762.0,49977.0,50239.0,50450.0,50655.0,50929.0,51036.0,51204.0,51382.0,51522.0,51675.0,51815.0,51880.0,51963.0,52024.0,52126.0,52272.0,52384.0,52533.0,52762.0,52874.0,52958.0,53036.0,53147.0,53245.0,53349.0,53464.0,53464.0,53464.0,53681.0,53826.0,53903.0,53976.0,54044.0,54125.0,54171.0,54229.0,54313.0,54400.0,54449.0,54513.0,54513.0,54601.0,54652.0,54689.0,54787.0,54797.0,54842.0,54895.0,54907.0,55026.0,55100.0,55157.0,55243.0,55309.0,55349.0,55362.0,55398.0,55443.0,55480.0,55511.0,55569.0,55620.0,55652.0,55690.0,55737.0,55802.0,55907.0,56004.0,56088.0,56131.0,56189.0,56285.0,56385.0,56469.0,56561.0,56647.0,56780.0,56856.0,56948.0,57054.0,57137.0,57226.0,57283.0,57320.0,57363.0,57363.0
Hunt County,,23.0,9236.0,9355.0,9495.0,9570.0,9631.0,9792.0,9942.0,10072.0,10072.0,10072.0,10072.0,10299.0,10399.0,10499.0,10624.0,10624.0,10624.0,10624.0,10924.0,11002.0,11104.0,11197.0,11339.0,11491.0,11560.0,11605.0,11679.0,11747.0,11841.0,11927.0,12018.0,12018.0,12018.0,12170.0,12230.0,12306.0,12306.0,12483.0,12526.0,12556.0,12617.0,12673.0,12724.0,12792.0,12852.0,12886.0,12918.0,12962.0,12998.0,13033.0,13050.0,13060.0,13118.0,13143.0,13170.0,13189.0,13222.0,13242.0,13284.0,13307.0,13320.0,13340.0,13373.0,13402.0,13425.0,13461.0,13461.0,13461.0,13510.0,13520.0,13546.0,13563.0,13584.0,13599.0,13606.0,13625.0,13657.0,13669.0,13686.0,13710.0,13710.0,13726.0,13742.0,13757.0,13768.0,13769.0,13788.0,13798.0,13806.0,13834.0,13850.0,13871.0,13888.0,13915.0,13921.0,13924.0,13934.0,13951.0,13966.0,13990.0,14012.0,14014.0,14022.0,14030.0,14042.0,14062.0,14090.0,14123.0,14134.0,14137.0,14152.0,14192.0,14222.0,14240.0,14265.0,14279.0,14290.0,14311.0,14332.0,14354.0,14374.0,14403.0,14421.0,14430.0,14446.0,14446.0
Hutchinson County,,23.0,1691.0,1726.0,1767.0,1782.0,1785.0,1798.0,1858.0,1904.0,1904.0,1905.0,1905.0,1951.0,1997.0,2023.0,2049.0,2049.0,2049.0,2049.0,2090.0,2109.0,2128.0,2139.0,2161.0,2196.0,2207.0,2214.0,2227.0,2258.0,2273.0,2296.0,2322.0,2322.0,2323.0,2338.0,2349.0,2361.0,2361.0,2391.0,2401.0,2402.0,2412.0,2429.0,2435.0,2446.0,2456.0,2463.0,2464.0,2472.0,2479.0,2486.0,2490.0,2492.0,2492.0,2492.0,2498.0,2506.0,2513.0,2523.0,2526.0,2528.0,2528.0,2534.0,2540.0,2540.0,2543.0,2544.0,2544.0,2544.0,2550.0,2552.0,2554.0,2556.0,2558.0,2560.0,2562.0,2563.0,2570.0,2575.0,2575.0,2577.0,2578.0,2578.0,2581.0,2585.0,2586.0,2586.0,2589.0,2592.0,2595.0,2599.0,2605.0,2607.0,2613.0,2612.0,2612.0,2612.0,2614.0,2616.0,2616.0,2621.0,2624.0,2627.0,2629.0,2632.0,2632.0,2636.0,2644.0,2651.0,2651.0,2651.0,2653.0,2658.0,2659.0,2662.0,2665.0,2666.0,2666.0,2667.0,2670.0,2676.0,2678.0,2683.0,2685.0,2685.0,2690.0,2690.0
Newton County,,0.0,893.0,903.0,908.0,911.0,915.0,943.0,958.0,964.0,965.0,966.0,966.0,987.0,990.0,1002.0,1018.0,1018.0,1019.0,1019.0,1036.0,1043.0,1059.0,1061.0,1067.0,1076.0,1079.0,1083.0,1099.0,1117.0,1127.0,1132.0,1136.0,1136.0,1136.0,1144.0,1158.0,1165.0,1165.0,1173.0,1176.0,1176.0,1190.0,1196.0,1197.0,1206.0,1209.0,1209.0,1209.0,1217.0,1219.0,1221.0,1224.0,1230.0,1230.0,1230.0,1238.0,1240.0,1241.0,1245.0,1246.0,1248.0,1249.0,1257.0,1257.0,1260.0,1261.0,1265.0,1265.0,1265.0,1267.0,1267.0,1271.0,1273.0,1274.0,1274.0,1274.0,1281.0,1281.0,1281.0,1281.0,1283.0,1283.0,1284.0,1291.0,1291.0,1292.0,1293.0,1293.0,1294.0,1294.0,1294.0,1295.0,1295.0,1297.0,1298.0,1299.0,1299.0,1302.0,1302.0,1302.0,1304.0,1305.0,1305.0,1305.0,1306.0,1308.0,1309.0,1313.0,1317.0,1317.0,1318.0,1330.0,1330.0,1334.0,1332.0,1335.0,1336.0,1336.0,1339.0,1341.0,1341.0,1343.0,1343.0,1344.0,1344.0,1346.0,1346.0
Nolan County,,0.0,1864.0,1902.0,1935.0,1941.0,1944.0,1962.0,1974.0,1987.0,1987.0,1987.0,1987.0,2003.0,2014.0,2054.0,2075.0,2075.0,2075.0,2075.0,2138.0,2145.0,2153.0,2160.0,2191.0,2216.0,2218.0,2219.0,2226.0,2233.0,2241.0,2281.0,2297.0,2297.0,2297.0,2304.0,2310.0,2319.0,2319.0,2347.0,2352.0,2352.0,2357.0,2362.0,2386.0,2400.0,2413.0,2413.0,2417.0,2419.0,2424.0,2425.0,2427.0,2427.0,2427.0,2427.0,2428.0,2429.0,2431.0,2443.0,2450.0,2451.0,2451.0,2458.0,2459.0,2460.0,2467.0,2467.0,2467.0,2467.0,2469.0,2470.0,2478.0,2479.0,2486.0,2489.0,2489.0,2496.0,2500.0,2502.0,2506.0,2510.0,2511.0,2512.0,2513.0,2516.0,2516.0,2518.0,2518.0,2518.0,2519.0,2519.0,2524.0,2523.0,2525.0,2528.0,2528.0,2528.0,2529.0,2531.0,2531.0,2532.0,2533.0,2535.0,2535.0,2536.0,2537.0,2538.0,2545.0,2550.0,2551.0,2551.0,2551.0,2552.0,2556.0,2565.0,2571.0,2571.0,2571.0,2574.0,2576.0,2581.0,2583.0,2587.0,2588.0,2588.0,2596.0,2596.0
Wharton County,,0.0,4078.0,4151.0,4256.0,4358.0,4372.0,4498.0,4562.0,4727.0,4727.0,4727.0,4727.0,4869.0,4898.0,4951.0,5025.0,5025.0,5025.0,5025.0,5273.0,5324.0,5362.0,5400.0,5437.0,5509.0,5565.0,5588.0,5613.0,5659.0,5727.0,5775.0,5834.0,5834.0,5834.0,5921.0,5977.0,6009.0,6009.0,6082.0,6103.0,6120.0,6141.0,6164.0,6187.0,6216.0,6280.0,6295.0,6341.0,6366.0,6433.0,6456.0,6474.0,6483.0,6514.0,6521.0,6541.0,6560.0,6575.0,6596.0,6615.0,6620.0,6629.0,6644.0,6659.0,6662.0,6689.0,6695.0,6695.0,6695.0,6716.0,6725.0,6735.0,6743.0,6749.0,6760.0,6761.0,6776.0,6789.0,6794.0,6822.0,6839.0,6839.0,6849.0,6867.0,6869.0,6878.0,6875.0,6880.0,6892.0,6897.0,6916.0,6930.0,6936.0,6942.0,6974.0,6979.0,6978.0,6981.0,6988.0,7011.0,7015.0,7024.0,7028.0,7030.0,7035.0,7036.0,7046.0,7057.0,7061.0,7063.0,7067.0,7080.0,7097.0,7109.0,7123.0,7128.0,7133.0,7137.0,7156.0,7162.0,7173.0,7181.0,7195.0,7199.0,7208.0,7231.0,7231.0
Clay County,,0.0,1219.0,1239.0,1250.0,1287.0,1291.0,1302.0,1316.0,1330.0,1330.0,1330.0,1330.0,1348.0,1352.0,1364.0,1376.0,1376.0,1376.0,1376.0,1396.0,1400.0,1423.0,1430.0,1450.0,1465.0,1467.0,1471.0,1477.0,1488.0,1508.0,1524.0,1530.0,1530.0,1530.0,1542.0,1553.0,1557.0,1557.0,1567.0,1574.0,1577.0,1583.0,1587.0,1590.0,1595.0,1599.0,1600.0,1705.0,1707.0,1717.0,1723.0,1724.0,1724.0,1724.0,1724.0,1730.0,1734.0,1733.0,1739.0,1740.0,1745.0,1746.0,1748.0,1749.0,1749.0,1749.0,1751.0,1751.0,1751.0,1758.0,1760.0,1760.0,1760.0,1760.0,1760.0,1760.0,1761.0,1761.0,1761.0,1763.0,1763.0,1763.0,1765.0,1765.0,1767.0,1767.0,1767.0,1769.0,1772.0,1772.0,1773.0,1775.0,1778.0,1778.0,1780.0,1780.0,1781.0,1781.0,1783.0,1783.0,1783.0,1783.0,1783.0,1783.0,1783.0,1783.0,1787.0,1790.0,1796.0,1798.0,1798.0,1801.0,1802.0,1805.0,1807.0,1814.0,1814.0,1816.0,1816.0,1824.0,1827.0,1830.0,1832.0,1834.0,1836.0,1839.0,1839.0
Crane County,,0.0,382.0,384.0,385.0,386.0,386.0,386.0,387.0,390.0,390.0,390.0,390.0,391.0,394.0,395.0,397.0,397.0,397.0,397.0,405.0,406.0,408.0,409.0,417.0,418.0,419.0,420.0,421.0,424.0,426.0,427.0,429.0,429.0,429.0,434.0,436.0,439.0,439.0,442.0,446.0,449.0,457.0,458.0,458.0,458.0,460.0,462.0,464.0,467.0,471.0,472.0,472.0,472.0,473.0,473.0,474.0,474.0,474.0,474.0,474.0,475.0,475.0,475.0,475.0,477.0,477.0,478.0,478.0,478.0,479.0,479.0,479.0,481.0,481.0,483.0,483.0,486.0,487.0,488.0,488.0,488.0,488.0,489.0,489.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,494.0,494.0,494.0,494.0,495.0,498.0,502.0,503.0,503.0,503.0,503.0,504.0,504.0,505.0,505.0,506.0,507.0,509.0,509.0,512.0,513.0,513.0,517.0,518.0,518.0
Crosby County,,0.0,650.0,666.0,670.0,675.0,677.0,682.0,684.0,692.0,692.0,692.0,692.0,762.0,763.0,769.0,772.0,772.0,772.0,772.0,794.0,797.0,801.0,808.0,814.0,825.0,828.0,830.0,831.0,832.0,834.0,840.0,846.0,846.0,846.0,882.0,888.0,890.0,890.0,903.0,904.0,904.0,905.0,905.0,906.0,910.0,912.0,912.0,913.0,916.0,920.0,931.0,940.0,940.0,943.0,943.0,943.0,944.0,948.0,951.0,952.0,952.0,953.0,956.0,956.0,965.0,969.0,974.0,974.0,974.0,978.0,979.0,983.0,985.0,985.0,986.0,986.0,988.0,987.0,987.0,987.0,987.0,987.0,988.0,988.0,990.0,990.0,991.0,991.0,992.0,992.0,993.0,999.0,999.0,1001.0,1001.0,1001.0,1002.0,1003.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1005.0,1006.0,1006.0,1006.0,1006.0,1006.0,1006.0,1007.0,1008.0,1009.0,1010.0,1010.0,1010.0,1010.0,1011.0,1013.0,1014.0,1015.0,1017.0,1020.0,1020.0,1020.0
