Recip_County,Eastland County,Hays County,Hunt County,Hutchinson County,Newton County,Nolan County,Wharton County,Clay County,Crane County,Crosby County,Jefferson County,Trinity County,Willacy County,Bastrop County,Colorado County,Deaf Smith County,Dimmit County,Lynn County,Cherokee County,Hamilton County,Loving County,Marion County,Sabine County,Wheeler County,Austin County,Houston County,Starr County,Jackson County,Jim Wells County,Madison County,Tarrant County,Brewster County,Ector County,Hartley County,Live Oak County,San Jacinto County,Garza County,Jim Hogg County,Liberty County,Briscoe County,Mason County,Rusk County,Zavala County,Kent County,Real County,Archer County,Hansford County,Lavaca County,Llano County,Titus County,Anderson County,Calhoun County,Lee County,Orange County,Cooke County,Parker County,Taylor County,Williamson County,Brazoria County,Freestone County,Hall County,Jeff Davis County,Sherman County,Sterling County,Wilson County,Callahan County,Collingsworth County,Falls County,Fort Bend County,Bosque County,Fannin County,Harrison County,Knox County,Moore County,San Patricio County,Gillespie County,La Salle County,Leon County,Cass County,Presidio County,Roberts County,Terry County,Glasscock County,McMullen County,Mitchell County,Sutton County,Dickens County,Galveston County,Lamar County,Lamb County,Rockwall County,Victoria County,Bailey County,Brown County,King County,McCulloch County,Reeves County,Collin County,Cottle County,Maverick County,Rains County,Brooks County,Grimes County,Palo Pinto County,Bee County,Chambers County,Lipscomb County,Milam County,Mills County,Randall County,Upshur County,Morris County,Panola County,Swisher County,Cochran County,Potter County,Aransas County,Armstrong County,Dawson County,Erath County,Hale County,Parmer County,Refugio County,Andrews County,Bowie County,Kleberg County,Runnels County,Wood County,Brazos County,Childress County,Jack County,Yoakum County,Burnet County,Frio County,Gaines County,Irion County,McLennan County,San Saba County,Shelby County,Val Verde County,Blanco County,Dallam County,Johnson County,Cameron County,Jasper County,Lampasas County,Menard County,Nacogdoches County,Polk County,Red River County,Smith County,Atascosa County,Comanche County,Ellis County,Caldwell County,Gregg County,Schleicher County,Wilbarger County,Coleman County,Dallas County,DeWitt County,Delta County,Franklin County,Hardeman County,Uvalde County,Ward County,Haskell County,Hemphill County,Jones County,Kerr County,Pecos County,Tom Green County,Tyler County,Donley County,Hidalgo County,Waller County,Young County,Hockley County,Hood County,Montague County,Van Zandt County,Camp County,Fayette County,Floyd County,Guadalupe County,Hardin County,Hudspeth County,Ochiltree County,Robertson County,Travis County,Angelina County,Gray County,Nueces County,Duval County,Kendall County,Upton County,Zapata County,Comal County,Crockett County,Harris County,San Augustine County,Limestone County,Navarro County,Karnes County,Kaufman County,Winkler County,Bandera County,Bexar County,El Paso County,Goliad County,Kenedy County,Coke County,Hopkins County,Motley County,Wise County,Kinney County,Edwards County,Bell County,Coryell County,Culberson County,Grayson County,Medina County,Midland County,Somervell County,Baylor County,Carson County,Foard County,Hill County,Kimble County,Castro County,Walker County,Washington County,Webb County,Denton County,Fisher County,Scurry County,Stephens County,Stonewall County,Terrell County,Gonzales County,Henderson County,Oldham County,Reagan County,Shackelford County,Borden County,Burleson County,Martin County,Throckmorton County,Wichita County,Concho County,Matagorda County,Montgomery County,Howard County,Lubbock County
Recip_State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2021,0,58,23,23,0,0,0,0,0,0,166,0,0,616,0,0,0,0,0,0,0,27,20,0,0,0,0,0,0,0,1544,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,294,115,0,0,0,0,0,0,0,0,0,441,0,0,154,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,203,36,0,0,0,0,0,0,0,0,843,0,381,0,0,0,0,0,0,20,0,0,38,0,0,50,0,0,0,13,0,0,0,0,0,0,0,449,0,0,0,404,0,0,0,0,0,0,0,75,0,16,0,0,0,0,113,0,0,0,0,887,0,86,0,0,0,0,0,0,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1300,0,0,142,0,0,0,0,34,0,3086,0,0,0,0,28,0,0,874,1450,0,0,0,0,0,0,0,0,301,0,0,181,0,48,0,0,0,0,0,0,0,30,0,48,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,320,0,116
12/16/2021,1681,33294,9236,1691,893,1864,4078,1219,382,650,28769,1513,2479,10225,2677,1572,1455,461,4797,1146,0,962,1086,545,3115,2127,10782,1562,5876,1389,263886,1494,11826,683,1070,2301,294,660,5869,321,666,4423,1474,80,514,975,489,2133,3697,2314,3976,2657,1957,6622,3272,14703,15758,96026,49237,1404,342,353,128,105,6218,1341,336,1621,139083,2279,3595,6140,238,1422,8543,4347,1067,1277,2496,1543,78,1229,88,67,849,365,198,55289,5057,1385,13563,11124,458,3290,0,856,1426,163114,120,8417,1121,1005,3007,2709,3532,3601,208,2368,685,15105,3558,1288,1813,684,257,10964,4102,187,693,3612,2140,901,954,1758,7705,4750,1134,5768,23892,815,675,626,6764,1834,749,175,28880,415,1713,4560,1801,564,16462,65673,3289,2388,405,7449,6794,1028,26167,5260,1695,19694,4757,13144,269,1612,772,335653,2090,426,1026,504,3747,792,491,404,1965,7046,2150,15981,1969,303,115126,4107,1728,1843,8450,1810,5102,1254,3265,679,20497,4869,575,461,1510,228333,10246,2308,53739,1793,8310,481,1593,23562,461,608211,908,1982,4682,1509,13701,645,2980,306488,127787,957,64,396,3008,103,5405,392,138,32709,7160,269,15151,7108,14470,1143,292,553,157,3455,583,686,7168,4787,32214,138503,311,1543,747,165,135,2111,8415,140,281,292,28,2102,300,55,14688,396,3669,67905,2100,33047
12/17/2021,1698,34019,9355,1726,903,1902,4151,1239,384,666,29287,1536,2549,10486,2736,1597,1486,478,4901,1162,0,977,1115,559,3183,2356,10912,1597,5936,1418,268611,1507,12014,686,1079,2342,328,667,5958,324,721,4498,1489,81,525,998,499,2146,3724,2354,4034,2712,1997,6725,3320,14934,15957,98908,50124,1439,345,354,128,107,6365,1350,336,1644,141813,2311,3672,6205,243,1443,8667,4383,1137,1315,2543,1549,79,1245,90,68,854,368,199,56063,5122,1425,13781,11306,481,3351,0,865,1443,166494,127,8535,1138,1035,3076,2774,3574,3675,212,2422,699,15361,3592,1303,1841,715,259,11155,4160,190,729,3689,2192,930,965,1810,7916,4811,1156,5860,24508,826,681,633,6869,1868,757,178,29639,418,1752,4610,1827,567,16776,67029,3318,2436,405,7862,6970,1039,26585,5374,1709,20116,4829,13368,273,1618,798,342075,2142,436,1050,505,3802,835,502,414,2069,7239,2226,16159,2026,304,117330,4182,1763,1872,8668,1825,5164,1279,3332,691,20921,4940,586,465,1600,234534,10589,2338,54709,1817,8480,483,1608,24090,479,620710,941,2008,4767,1541,13970,665,3043,314669,130768,966,66,403,3061,104,5501,399,141,33280,7326,311,15335,7224,14677,1178,295,561,157,3541,587,703,7399,4962,32859,140643,355,1806,786,165,139,2153,8547,144,282,306,28,2136,308,56,15284,396,3739,69220,2107,33563
12/18/2021,1785,34733,9495,1767,908,1935,4256,1250,385,670,29664,1547,2637,10688,2772,1638,1504,481,4983,1195,0,998,1128,576,3225,2407,11117,1605,5995,1425,273104,1538,12188,728,1114,2385,329,668,6056,327,726,4602,1513,82,535,1018,502,2186,3745,2361,4118,2781,2028,6819,3352,15169,16257,100650,50969,1470,362,364,130,107,6420,1385,336,1672,144359,2338,3714,6274,247,1490,8766,4449,1145,1331,2592,1567,80,1270,92,68,888,368,199,56871,5192,1447,13994,11439,499,3392,0,879,1494,169673,130,8639,1161,1045,3120,2810,3648,3780,216,2524,702,15721,3643,1311,1986,726,264,11351,4210,191,734,3741,2294,949,1016,1828,8065,4876,1170,5943,24926,833,694,647,6957,1885,760,180,30145,420,1807,4680,1900,575,17058,67931,3344,2486,407,8038,7067,1051,26986,5459,1780,20470,4913,13555,274,1675,801,347943,2161,443,1070,524,3856,882,503,427,2091,7395,2249,16226,2060,319,118735,4262,1808,1976,8801,1843,5276,1289,3360,721,21211,5013,601,478,1659,239189,10722,2388,55290,1834,8591,486,1667,24339,479,630406,953,2081,4865,1574,14279,697,3087,321117,133358,969,66,405,3096,108,5607,425,189,33773,7449,312,15550,7315,14889,1208,302,575,159,3561,619,715,7524,5054,33330,144087,358,1842,798,168,139,2182,8816,148,282,309,29,2156,317,56,15894,396,3799,70248,2170,34176
12/19/2021,1789,35429,9570,1782,911,1941,4358,1287,386,675,29933,1566,2644,10885,2833,1656,1517,492,4998,1220,0,1010,1129,577,3266,2417,11222,1615,6058,1443,277890,1541,12450,730,1120,2403,331,673,6112,330,730,4653,1526,82,537,1065,502,2204,3762,2408,4165,2807,2051,6908,3402,15379,16416,102904,51764,1487,364,366,131,113,6562,1391,336,1696,146858,2354,3736,6327,249,1515,8874,4565,1145,1341,2611,1575,80,1276,93,68,889,379,199,57789,5235,1459,14205,11608,501,3422,0,892,1500,172775,130,8707,1174,1058,3156,2843,3696,3839,216,2553,706,15899,3675,1338,2000,731,268,11470,4275,192,737,3794,2329,948,1022,1850,8131,4964,1184,6062,25527,840,700,669,7054,1911,768,184,30699,420,1834,4838,1922,587,17374,68629,3355,2520,410,8109,7119,1054,27305,5602,1801,20749,4963,13716,280,1684,804,353642,2187,446,1091,525,3883,883,504,429,2103,7564,2254,16622,2071,319,119958,4315,1843,2002,8919,1870,5361,1313,3416,728,21669,5064,633,478,1675,244593,10840,2405,56146,1845,8775,488,1668,24883,481,641581,957,2108,4923,1581,14471,698,3125,327930,134375,974,66,415,3139,108,5677,430,191,34249,7526,313,15723,7424,15118,1214,302,576,159,3575,622,717,7628,5136,33826,145995,361,1868,801,168,139,2220,8906,151,286,310,31,2185,322,56,16520,399,3858,71482,2198,34752
12/20/2021,1794,35623,9631,1785,915,1944,4372,1291,386,677,30108,1573,2658,10968,2840,1661,1522,495,5009,1220,0,1014,1129,577,3288,2423,11226,1620,6091,1450,280494,1541,12570,732,1120,2411,331,675,6168,330,731,4679,1532,82,537,1071,502,2210,3772,2416,4183,2822,2063,6974,3425,15465,16507,103854,52300,1491,366,366,131,113,6590,1393,337,1700,148373,2356,3746,6356,249,1526,8960,4579,1146,1343,2625,1575,80,1276,95,68,890,382,199,58252,5243,1465,14358,11643,501,3441,0,891,1510,174678,130,8901,1177,1074,3175,2856,3721,3855,216,2602,708,15982,3691,1341,2002,733,268,11538,4301,193,742,3822,2335,949,1029,1850,8165,4987,1187,6081,25792,844,704,671,7094,1915,770,185,30895,420,1842,4853,1933,587,17573,68929,3364,2531,410,8143,7148,1055,27465,5629,1805,20920,4997,13794,280,1684,806,357294,2196,449,1095,525,3890,883,504,429,2109,7593,2259,16667,2079,319,120449,4353,1850,2008,8971,1884,5402,1321,3429,735,21829,5080,633,478,1679,246813,10922,2415,56713,1853,8812,488,1669,25006,482,648640,957,2115,4936,1592,14595,700,3130,330447,135466,978,66,417,3165,109,5708,430,191,34438,7561,313,15787,7454,15211,1214,302,577,159,3586,623,745,7685,5161,34076,147119,362,1869,802,168,139,2249,8951,152,286,313,31,2198,324,56,16590,399,3886,72136,2210,35024
12/21/2021,1802,35952,9792,1798,943,1962,4498,1302,386,682,30660,1584,2677,11085,2927,1684,1523,497,5084,1236,0,1023,1143,577,3339,2447,11380,1627,6135,1468,283840,1542,12733,739,1136,2451,331,675,6265,333,734,4742,1538,82,543,1079,539,2231,3786,2451,4224,2886,2077,7053,3478,15715,16662,105484,53172,1498,369,366,133,114,6642,1399,339,1706,150853,2386,3800,6441,250,1555,9042,4604,1149,1367,2657,1618,80,1309,98,77,891,385,206,58802,5336,1484,14533,11700,538,3530,0,899,1515,177194,129,9029,1190,1087,3213,2894,3739,3949,219,2630,710,16157,3726,1365,2025,747,268,11690,4343,193,746,3867,2449,967,1034,1855,8266,5016,1206,6150,26281,845,724,676,7194,1933,777,185,31156,427,1854,4862,1945,606,17789,70109,3441,2554,410,8209,7232,1065,27863,5711,1819,21151,5038,13936,282,1715,817,362208,2207,453,1109,526,3920,888,511,434,2113,7648,2277,16728,2099,322,121775,4428,1875,2034,9046,1898,5475,1341,3466,742,22076,5187,639,484,1693,249884,11035,2432,57162,1867,8911,490,1717,25256,484,659213,973,2143,4993,1604,14773,723,3149,333884,137646,980,66,424,3200,109,5820,430,197,34815,7636,313,15952,7549,15389,1217,302,583,159,3614,627,750,7750,5239,34529,149249,365,1878,809,169,139,2265,9063,152,286,314,31,2224,326,216,16713,401,3951,73412,2241,35660
12/22/2021,1815,36748,9942,1858,958,1974,4562,1316,387,684,31315,1599,2761,11343,3040,1715,1542,501,5197,1249,0,1040,1151,585,3398,2491,11501,1643,6216,1482,289144,1557,12981,743,1160,2501,340,677,6407,335,743,4878,1571,90,548,1097,543,2256,3813,2500,4303,2938,2104,7186,3548,15959,16925,107786,54421,1520,377,370,135,115,6746,1431,339,1734,154319,2411,3807,6489,251,1581,9217,4694,1154,1386,2694,1630,80,1355,98,79,894,387,219,59940,5452,1505,14809,11868,566,3648,0,918,1526,181087,139,9121,1221,1105,3317,2966,3783,4074,223,2771,717,16372,3787,1387,2034,764,271,11864,4415,195,752,3940,2525,979,1063,1874,8412,5107,1233,6225,27064,862,731,681,7261,1958,789,186,31779,430,1875,4927,1971,618,18111,71233,3517,2593,411,8334,7361,1082,28406,5824,1830,21578,5165,14206,286,1726,822,369108,2246,461,1122,527,3958,893,516,447,2154,7764,2293,16927,2121,322,123507,4542,1895,2048,9209,1928,5558,1365,3552,783,22455,5309,654,485,1734,256511,11199,2457,58085,1899,9101,498,1737,25792,487,674752,975,2169,5113,1689,15061,727,3175,340661,139978,990,68,427,3370,111,5928,435,198,35388,7753,336,16252,7717,15565,1220,302,593,159,3634,634,758,7846,5347,35040,151590,367,1910,818,169,139,2320,9139,157,289,323,31,2269,328,226,16936,403,4035,75175,2263,36324
12/23/2021,1836,37463,10072,1904,964,1987,4727,1330,390,692,31879,1638,2822,11615,3062,1741,1557,506,5282,1278,0,1057,1172,585,3507,2541,11779,1672,6297,1487,294490,1561,13224,752,1174,2545,340,680,6583,337,746,5073,1591,90,553,1121,555,2278,3850,2540,4451,2978,2138,7333,3620,16224,17265,110372,55793,1546,403,370,135,115,6858,1462,339,1748,158204,2433,3849,6628,254,1599,9357,4754,1179,1393,2751,1678,81,1362,100,81,926,391,220,61124,5517,1535,15108,12054,588,3764,0,940,1538,184993,139,9214,1232,1124,3374,3013,3814,4183,224,2801,736,16742,3833,1406,2026,784,273,12184,4478,201,779,4001,2614,988,1109,1901,8534,5176,1248,6314,27708,878,789,704,7405,1988,805,191,32285,434,1912,4977,2025,629,18575,72331,3545,2644,434,8426,7480,1096,28773,5928,1883,21964,5313,14424,298,1730,861,376357,2302,467,1139,538,4085,900,520,464,2233,7921,2486,17178,2140,325,125397,4652,1929,2166,9378,1942,5615,1377,3615,792,22891,5428,679,486,1756,263517,11537,2478,58947,1929,9239,512,1779,26348,493,690145,987,2208,5216,1732,15399,731,3208,347245,142735,1000,68,431,3420,113,5997,439,204,36001,7888,336,16425,7853,15989,1231,317,600,159,3677,636,760,7973,5589,35648,153928,370,1942,837,172,139,2365,9257,159,291,345,31,2334,344,226,17255,408,4145,76825,2274,37080
